Days,DIV,Bought,Qty,Profit
1,BUY,27775,108,0
2,SELL,27780,108,540
2,BUY,27795,107,0
3,SELL,27805,107,1070
3,BUY,27815,107,0
3,SELL,28150,107,36915
3,BUY,28155,106,0
4,SELL,28160,106,530
4,BUY,28175,107,0
5,SELL,28180,107,535
5,BUY,28195,107,0
6,SELL,28205,107,1070
6,BUY,28215,107,0
6,SELL,28555,107,37450
6,BUY,28560,106,0
7,SELL,28570,106,1060
7,BUY,28585,107,0
8,SELL,28590,107,535
8,BUY,28605,107,0
9,SELL,28615,107,1070
9,BUY,28625,107,0
9,SELL,28975,107,38520
9,BUY,28985,106,0
9,SELL,29335,106,75620
9,BUY,29345,104,0
10,SELL,29355,104,1040
10,BUY,29365,107,0
11,SELL,29370,107,535
11,BUY,29385,107,0
11,SELL,29740,107,38520
11,BUY,29745,106,0
12,SELL,29755,106,1060
12,BUY,29765,107,0
12,SELL,30125,107,39580
12,BUY,30120,106,0
13,SELL,30125,106,530
13,BUY,30140,107,0
13,SELL,30505,107,39585
13,BUY,30510,105,0
14,SELL,30515,105,525
14,BUY,30530,107,0
15,SELL,30535,107,535
15,BUY,30550,107,0
16,SELL,30555,107,535
16,BUY,30500,107,0
16,SELL,30870,107,40125
16,BUY,30880,105,0
16,SELL,31255,105,79500
16,BUY,31245,104,0
17,SELL,31250,104,520
17,BUY,31265,107,0
18,SELL,31270,107,535
18,BUY,31215,107,0
19,SELL,31220,107,535
19,BUY,31240,107,0
20,SELL,31250,107,1070
20,BUY,31260,107,0
21,SELL,31270,107,1070
21,BUY,31210,107,0
21,SELL,31585,107,41195
21,BUY,31575,106,0
22,SELL,31585,106,1060
22,BUY,31595,107,0
23,SELL,31605,107,1070
23,BUY,31615,107,0
24,SELL,31625,107,1070
24,BUY,31635,107,0
25,SELL,31640,107,535
25,BUY,31585,107,0
26,SELL,31590,107,535
26,BUY,31605,107,0
26,SELL,31990,107,41730
26,BUY,31995,106,0
26,SELL,32380,106,82540
26,BUY,32370,105,0
27,SELL,32380,105,1050
27,BUY,32390,107,0
27,SELL,32780,107,42780
27,BUY,32775,106,0
28,SELL,32785,106,1060
28,BUY,32800,107,0
29,SELL,32805,107,535
29,BUY,32820,107,0
29,SELL,33215,107,42800
29,BUY,33220,106,0
30,SELL,33230,106,1060
30,BUY,33165,107,0
31,SELL,33175,107,1070
31,BUY,33185,107,0
32,SELL,33190,107,535
32,BUY,33205,107,0
33,SELL,33210,107,535
33,BUY,33155,107,0
34,SELL,33165,107,1070
34,BUY,33105,107,0
34,SELL,33510,107,44405
34,BUY,33520,106,0
35,SELL,33525,106,530
35,BUY,33540,107,0
36,SELL,33545,107,535
36,BUY,33560,107,0
36,SELL,33965,107,43870
36,BUY,33975,106,0
37,SELL,33980,106,530
37,BUY,33995,107,0
38,SELL,34000,107,535
38,BUY,33945,107,0
39,SELL,33950,107,535
39,BUY,33965,107,0
40,SELL,33970,107,535
40,BUY,33990,107,0
41,SELL,33995,107,535
41,BUY,34010,107,0
42,SELL,34015,107,535
42,BUY,34030,107,0
42,SELL,34445,107,44940
42,BUY,34445,106,0
42,SELL,34860,106,88930
42,BUY,34870,105,0
43,SELL,34880,105,1050
43,BUY,34890,107,0
44,SELL,34895,107,535
44,BUY,34910,107,0
45,SELL,34915,107,535
45,BUY,34860,107,0
46,SELL,34865,107,535
46,BUY,34880,107,0
47,SELL,34890,107,1070
47,BUY,34900,107,0
48,SELL,34910,107,1070
48,BUY,34920,107,0
48,SELL,35340,107,46010
48,BUY,35330,106,0
49,SELL,35340,106,1060
49,BUY,35350,107,0
50,SELL,35355,107,535
50,BUY,35370,107,0
51,SELL,35375,107,535
51,BUY,35320,107,0
52,SELL,35330,107,1070
52,BUY,35340,107,0
53,SELL,35350,107,1070
53,BUY,35360,107,0
54,SELL,35365,107,535
54,BUY,35310,107,0
55,SELL,35320,107,1070
55,BUY,35335,107,0
55,SELL,35760,107,46545
55,BUY,35770,106,0
56,SELL,35780,106,1060
56,BUY,35790,107,0
56,SELL,36220,107,47070
56,BUY,36230,106,0
57,SELL,36235,106,530
57,BUY,36250,107,0
57,SELL,36695,107,48145
57,BUY,36700,106,0
58,SELL,36705,106,530
58,BUY,36720,107,0
59,SELL,36730,107,1070
59,BUY,36740,107,0
60,SELL,36745,107,535
60,BUY,36685,107,0
61,SELL,36690,107,535
61,BUY,36635,107,0
61,SELL,37080,107,48150
61,BUY,37075,106,0
62,SELL,37080,106,530
62,BUY,37100,107,0
63,SELL,37105,107,535
63,BUY,37125,107,0
63,SELL,37575,107,48685
63,BUY,37565,106,0
64,SELL,37575,106,1060
64,BUY,37515,107,0
65,SELL,37525,107,1070
65,BUY,37535,107,0
66,SELL,37545,107,1070
66,BUY,37555,107,0
67,SELL,37560,107,535
67,BUY,37575,107,0
67,SELL,38030,107,49220
67,BUY,38035,106,0
68,SELL,38045,106,1060
68,BUY,38055,107,0
68,SELL,38515,107,50280
68,BUY,38520,106,0
69,SELL,38530,106,1060
69,BUY,38540,107,0
70,SELL,38545,107,535
70,BUY,38565,107,0
71,SELL,38575,107,1070
71,BUY,38590,107,0
73,SELL,38600,107,1070
73,BUY,38610,107,0
74,SELL,38615,107,535
74,BUY,38630,107,0
75,SELL,38640,107,1070
75,BUY,38650,107,0
76,SELL,38655,107,535
76,BUY,38670,107,0
77,SELL,38675,107,535
77,BUY,38690,107,0
77,SELL,39155,107,50290
77,BUY,39165,106,0
78,SELL,39170,106,530
78,BUY,39185,107,0
79,SELL,39195,107,1070
79,BUY,39205,107,0
80,SELL,39215,107,1070
80,BUY,39225,107,0
80,SELL,39705,107,52430
80,BUY,39695,106,0
81,SELL,39700,106,530
81,BUY,39715,107,0
82,SELL,39720,107,535
82,BUY,39740,107,0
83,SELL,39745,107,535
83,BUY,39765,107,0
83,SELL,40250,107,52430
83,BUY,40255,105,0
84,SELL,40265,105,1050
84,BUY,40275,107,0
84,SELL,40760,107,52945
84,BUY,40770,105,0
85,SELL,40780,105,1050
85,BUY,40720,107,0
86,SELL,40725,107,535
86,BUY,40670,107,0
87,SELL,40675,107,535
87,BUY,40615,107,0
88,SELL,40625,107,1070
88,BUY,40640,107,0
89,SELL,40650,107,1070
89,BUY,40665,107,0
90,SELL,40670,107,535
90,BUY,40685,107,0
90,SELL,41175,107,52965
90,BUY,41185,106,0
91,SELL,41195,106,1060
91,BUY,41210,107,0
91,SELL,41705,107,54025
91,BUY,41695,106,0
92,SELL,41705,106,1060
92,BUY,41720,107,0
93,SELL,41730,107,1070
93,BUY,41740,107,0
93,SELL,42245,107,55105
93,BUY,42240,106,0
94,SELL,42245,106,530
94,BUY,42260,107,0
95,SELL,42270,107,1070
95,BUY,42280,107,0
96,SELL,42285,107,535
96,BUY,42300,107,0
97,SELL,42310,107,1070
97,BUY,42250,107,0
98,SELL,42255,107,535
98,BUY,42275,107,0
98,SELL,42790,107,55640
