Days,DIV,Bought,Qty,Profit
1,BUY,27775,108,0
1,SELL,28110,108,36180
1,BUY,28100,106,0
2,SELL,28105,106,530
2,BUY,28120,107,0
3,SELL,28125,107,535
3,BUY,28065,108,0
3,SELL,28405,108,37255
3,BUY,28395,106,0
4,SELL,28405,106,1060
4,BUY,28415,108,0
5,SELL,28420,108,540
5,BUY,28440,108,0
5,SELL,28790,108,38340
5,BUY,28780,106,0
5,SELL,29135,106,75970
5,BUY,29125,105,0
6,SELL,29130,105,525
6,BUY,29150,108,0
6,SELL,29500,108,38325
6,BUY,29495,106,0
7,SELL,29505,106,1060
7,BUY,29520,108,0
8,SELL,29525,108,540
8,BUY,29470,108,0
9,SELL,29480,108,1080
9,BUY,29490,108,0
9,SELL,29845,108,39420
9,BUY,29850,106,0
10,SELL,29860,106,1060
10,BUY,29870,108,0
11,SELL,29875,108,540
11,BUY,29820,108,0
12,SELL,29825,108,540
12,BUY,29845,108,0
12,SELL,30205,108,39420
12,BUY,30215,106,0
12,SELL,30585,106,78640
12,BUY,30580,105,0
13,SELL,30590,105,1050
13,BUY,30530,108,0
14,SELL,30535,108,540
14,BUY,30550,108,0
15,SELL,30560,108,1080
15,BUY,30575,108,0
16,SELL,30585,108,1080
16,BUY,30525,108,0
17,SELL,30535,108,1080
17,BUY,30545,108,0
18,SELL,30555,108,1080
18,BUY,30565,108,0
18,SELL,30935,108,41040
18,BUY,30930,107,0
18,SELL,31310,107,81700
18,BUY,31310,105,0
19,SELL,31315,105,525
19,BUY,31335,108,0
19,SELL,31715,108,41565
19,BUY,31710,107,0
20,SELL,31715,107,535
20,BUY,31730,108,0
20,SELL,32115,108,42115
20,BUY,32120,107,0
21,SELL,32125,107,535
21,BUY,32140,108,0
22,SELL,32145,108,540
22,BUY,32090,108,0
23,SELL,32100,108,1080
23,BUY,32110,108,0
23,SELL,32500,108,43200
23,BUY,32500,107,0
24,SELL,32505,107,535
24,BUY,32520,108,0
24,SELL,32915,108,43195
24,BUY,32915,107,0
24,SELL,33310,107,85460
24,BUY,33315,105,0
25,SELL,33320,105,525
25,BUY,33335,108,0
26,SELL,33345,108,1080
26,BUY,33355,108,0
27,SELL,33360,108,540
27,BUY,33380,108,0
28,SELL,33390,108,1080
28,BUY,33405,108,0
29,SELL,33410,108,540
29,BUY,33430,108,0
29,SELL,33840,108,44820
29,BUY,33850,106,0
30,SELL,33860,106,1060
30,BUY,33870,108,0
31,SELL,33875,108,540
31,BUY,33890,107,0
32,SELL,33895,107,535
32,BUY,33910,107,0
33,SELL,33920,107,1070
33,BUY,33855,108,0
34,SELL,33865,108,1080
34,BUY,33875,108,0
35,SELL,33880,108,540
35,BUY,33825,108,0
36,SELL,33830,108,540
36,BUY,33850,108,0
37,SELL,33855,108,540
37,BUY,33870,108,0
38,SELL,33875,108,540
38,BUY,33895,108,0
39,SELL,33905,108,1080
39,BUY,33915,108,0
39,SELL,34325,108,45360
39,BUY,34325,106,0
40,SELL,34335,106,1060
40,BUY,34345,108,0
41,SELL,34350,108,540
41,BUY,34370,107,0
41,SELL,34790,107,45480
41,BUY,34800,106,0
42,SELL,34805,106,530
42,BUY,34820,107,0
43,SELL,34830,107,1070
43,BUY,34765,108,0
43,SELL,35190,108,46970
43,BUY,35200,106,0
44,SELL,35210,106,1060
44,BUY,35150,108,0
45,SELL,35155,108,540
45,BUY,35175,108,0
45,SELL,35600,108,46440
45,BUY,35590,106,0
46,SELL,35600,106,1060
46,BUY,35610,108,0
47,SELL,35620,108,1080
47,BUY,35560,108,0
48,SELL,35565,108,540
48,BUY,35580,108,0
49,SELL,35585,108,540
49,BUY,35600,108,0
50,SELL,35605,108,540
50,BUY,35620,108,0
51,SELL,35625,108,540
51,BUY,35565,108,0
52,SELL,35575,108,1080
52,BUY,35590,108,0
53,SELL,35595,108,540
53,BUY,35610,108,0
54,SELL,35615,108,540
54,BUY,35635,108,0
55,SELL,35645,108,1080
55,BUY,35660,108,0
56,SELL,35665,108,540
56,BUY,35680,108,0
56,SELL,36115,108,47520
56,BUY,36110,106,0
56,SELL,36545,106,93630
56,BUY,36550,105,0
57,SELL,36560,105,1050
57,BUY,36575,108,0
57,SELL,37015,108,48570
57,BUY,37020,106,0
58,SELL,37025,106,530
58,BUY,37040,108,0
59,SELL,37050,108,1080
59,BUY,37060,107,0
60,SELL,37065,107,535
60,BUY,37010,108,0
60,SELL,37455,108,48595
60,BUY,37460,106,0
61,SELL,37470,106,1060
61,BUY,37485,108,0
62,SELL,37495,108,1080
62,BUY,37505,108,0
63,SELL,37510,108,540
63,BUY,37530,108,0
64,SELL,37535,108,540
64,BUY,37550,107,0
65,SELL,37560,107,1070
65,BUY,37570,107,0
65,SELL,38025,107,49755
65,BUY,38035,106,0
65,SELL,38500,106,99045
65,BUY,38490,105,0
66,SELL,38500,105,1050
66,BUY,38510,107,0
67,SELL,38515,107,535
67,BUY,38460,108,0
68,SELL,38470,108,1080
68,BUY,38480,107,0
69,SELL,38485,107,535
69,BUY,38500,107,0
69,SELL,38970,107,50825
69,BUY,38975,106,0
70,SELL,38985,106,1060
70,BUY,39000,107,0
71,SELL,39005,107,535
71,BUY,38950,108,0
72,SELL,38955,108,540
72,BUY,38975,107,0
73,SELL,38985,107,1070
73,BUY,38925,108,0
73,SELL,39395,108,51830
73,BUY,39385,106,0
74,SELL,39390,106,530
74,BUY,39335,108,0
75,SELL,39340,108,540
75,BUY,39355,108,0
76,SELL,39365,108,1080
76,BUY,39375,108,0
77,SELL,39385,108,1080
77,BUY,39400,108,0
77,SELL,39875,108,52380
77,BUY,39865,106,0
78,SELL,39875,106,1060
78,BUY,39890,108,0
79,SELL,39900,108,1080
79,BUY,39910,108,0
80,SELL,39915,108,540
80,BUY,39930,108,0
81,SELL,39940,108,1080
81,BUY,39950,108,0
81,SELL,40435,108,53460
81,BUY,40440,106,0
82,SELL,40450,106,1060
82,BUY,40460,108,0
83,SELL,40465,108,540
83,BUY,40405,108,0
84,SELL,40410,108,540
84,BUY,40425,108,0
84,SELL,40915,108,53460
84,BUY,40925,106,0
84,SELL,41420,106,105930
84,BUY,41415,105,0
85,SELL,41420,105,525
85,BUY,41440,108,0
85,SELL,41945,108,55065
85,BUY,41940,106,0
85,SELL,42445,106,108595
85,BUY,42445,105,0
86,SELL,42455,105,1050
86,BUY,42465,108,0
87,SELL,42470,108,540
87,BUY,42490,108,0
88,SELL,42495,108,540
88,BUY,42515,107,0
88,SELL,43030,107,55645
88,BUY,43020,106,0
89,SELL,43030,106,1060
89,BUY,43040,107,0
90,SELL,43045,107,535
90,BUY,42985,108,0
90,SELL,43505,108,56695
90,BUY,43515,106,0
91,SELL,43520,106,530
91,BUY,43465,108,0
92,SELL,43470,108,540
92,BUY,43485,108,0
93,SELL,43495,108,1080
93,BUY,43505,108,0
93,SELL,44035,108,58320
93,BUY,44025,106,0
94,SELL,44030,106,530
94,BUY,44045,108,0
95,SELL,44055,108,1080
95,BUY,44065,108,0
96,SELL,44070,108,540
96,BUY,44085,108,0
97,SELL,44095,108,1080
97,BUY,44030,108,0
98,SELL,44040,108,1080
98,BUY,44050,108,0
99,SELL,44055,108,540
99,BUY,44075,108,0
100,SELL,44080,108,540
100,BUY,44100,108,0
101,SELL,44105,108,540
101,BUY,44125,108,0
102,SELL,44130,108,540
102,BUY,44145,108,0
103,SELL,44150,108,540
103,BUY,44165,107,0
104,SELL,44170,107,535
104,BUY,44110,108,0
105,SELL,44120,108,1080
105,BUY,44055,108,0
106,SELL,44060,108,540
106,BUY,44080,108,0
107,SELL,44090,108,1080
107,BUY,44100,108,0
108,SELL,44105,108,540
