종목,20일평균,현재가,전일비,등락률,거래량,외국인,평균대비,긍정,부정
삼성전자,82425,81800,-200,-0.24,"13,181,232",54.72,-0.76,0,-2
KT&G,79995,80300,-300,-0.37,"607,720",39.79,0.38,0,-2
한화솔루션,44347,43650,400,+0.92,"1,328,007",17.72,-1.6,0,-5
LG디스플레이,22597,22350,-150,-0.67,"4,591,020",24.03,-1.11,10,0
KT,26497,26700,200,+0.75,"819,974",42.65,0.76,2,0
미래에셋대우,9522,9590,-90,-0.93,"1,160,771",14.63,0.7100000000000001,4,0
LG유플러스,12025,12050,0,0.00,"1,670,089",29.37,0.21,0,-5
아모레G,63820,63700,400,+0.63,"179,944",19.98,-0.19,0,0
한국금융지주,87590,86500,-300,-0.35,"197,306",31.44,-1.26,0,0
유한양행,61350,61000,-500,-0.81,"186,796",19.41,-0.5700000000000001,0,0
한진칼,59290,59000,100,+0.17,"45,590",15.46,-0.49,0,0
롯데지주,33247,33100,350,+1.07,"383,190",11.14,-0.44,0,0
NH투자증권,11265,11300,-100,-0.88,"562,339",16.03,0.31,0,-4
에스원,82390,82300,300,+0.37,"41,756",56.04,-0.11,0,0
아이에스동서,54010,53500,100,+0.19,"54,619",5.22,-0.95,1,0
동원시스템즈,48847,48450,-200,-0.41,"41,410",1.72,-0.8200000000000001,0,0
이노션,60165,59300,-200,-0.34,"41,034",30.21,-1.46,1,0
오리온홀딩스,14020,14150,-100,-0.70,"138,833",6.48,0.9199999999999999,0,0
롯데하이마트,37432,37200,-150,-0.40,"44,347",11.88,-0.62,0,0
두산,48300,47700,-100,-0.21,"54,946",7.3,-1.26,0,0
락앤락,14765,14850,0,0.00,"111,457",72.34,0.5700000000000001,0,0
애경산업,25290,24800,-50,-0.20,"39,976",2.04,-1.9800000000000002,0,0
